ID,Modul,Tests,Status
V15-AUTH-010,apps/worker/src/auth.ts,apps/worker/src/auth.test.ts,umgesetzt
V15-NAV-010,apps/web/src/app,apps/web/src/features/auth/event-selection.test.ts,in Arbeit
V15-ROLE-010,packages/domain und apps/worker,packages/domain/src/index.test.ts,umgesetzt
V15-QUE-010,apps/worker/src/event-coordinator.ts,apps/worker/src/v1-5-stable-operations.test.ts,umgesetzt
V15-QUE-020,apps/worker/src/event-coordinator.ts,apps/worker/src/v1-5-stable-operations.test.ts,umgesetzt
V15-FLT-010,packages/contracts und packages/domain,packages/contracts/src/index.test.ts,umgesetzt
V15-FLT-020,apps/worker/src/event-coordinator.ts,apps/worker/src/v1-5-stable-operations.test.ts,umgesetzt
V15-TKT-010,apps/worker/migrations/0036_v1_5_stable_operations.sql,apps/worker/src/v1-5-stable-operations.test.ts,umgesetzt
V15-TKT-020,apps/web/src/cashier-view.tsx,apps/worker/src/v1-5-stable-operations.test.ts,umgesetzt
V15-FIDS-010,apps/worker/src/index.ts,apps/web/src/features/auth/event-selection.test.ts,umgesetzt
V15-FIDS-020,apps/web/src/fids-display.tsx,apps/web/src/fids-display-ui.test.ts,umgesetzt
V15-BRAND-010,apps/worker/src/event-logo.ts,apps/worker/src/event-logo.test.ts,umgesetzt
V15-EVT-010,apps/worker/src/event-deletion.ts,apps/worker/src/event-deletion.test.ts,umgesetzt
V15-EVT-020,apps/worker/src/index.ts,apps/worker/src/event-deletion.test.ts,umgesetzt
V15-EXP-010,apps/worker/src/index.ts,apps/worker/src/event-deletion.test.ts,umgesetzt
V15-UI-010,docs/ui/v1.5-concepts.md,visuelle Browserabnahme,in Arbeit
V15-UI-020,apps/web/src,visuelle Browserabnahme,in Arbeit
V15-IOS-010,docs/verification/ios-manual-v1.5.md,manuelle Hardwareabnahme,dokumentiert
V15-OPS-010,docs/operations,manuelle Rollendurchläufe,dokumentiert
V15-ARCH-010,docs/adr/0016-reset-first-veranstaltungslebenszyklus.md,Architekturreview,akzeptiert
