ID,Stufe,Priorität,Abschnitt,Kurzbeschreibung,Issue,Modul,Tests,Status
F-KAS-010,V1,MUSS,8.1 Ticketverkauf (Kasse),Das Kassenpersonal muss einen Standardverkauf für eine Gruppe in maximal sechs Interaktionen und in der Regel in weniger als 15 Sekunden abschließen können. Freiwillige Zusatzan…,,BP-04,"30 automatisierte Browserverkäufe: Median 581 ms, Maximum 843 ms, höchstens 2 Interaktionen; Feldabnahmeprotokoll vorhanden, Originalhardwaremessung ausstehend",in Arbeit
F-KAS-020,V1,MUSS,8.1 Ticketverkauf (Kasse),Zusammen verkaufte Tickets erhalten automatisch eine gemeinsame Gruppen-ID. Gruppenbindungen werden in allen Folgeprozessen berücksichtigt.,,BP-04,Unit Zustandsautomat + Integration Verkauf/Umlauf + E2E erstes Vertical Slice,umgesetzt
F-KAS-030,V1,MUSS,8.1 Ticketverkauf (Kasse),"Gewichtsklassen (Kind, Normal, Schwer, Individuell mit kg-Angabe) müssen je Produkt oder Veranstaltung konfigurierbar aktivierbar sein. Ist die Funktion aktiv, ist je Person ein…",,BP-04,Unit Zustandsautomat + Integration Verkauf/Umlauf + E2E erstes Vertical Slice,umgesetzt
F-KAS-040,V1,MUSS,8.1 Ticketverkauf (Kasse),Keine Namen oder Telefonnummern im Ticketkern; nur anonyme Ticketmerkmale und getrennte freiwillige Web-Push-Registrierung.,,BP-04,ADR-0006 + Contract phone-free Verkauf/Standby + Schema-/UI-Prüfung,umgesetzt
F-KAS-050,V1,MUSS,8.1 Ticketverkauf (Kasse),"Jedes Ticket erhält eine eindeutige, nicht erratbare Ticketnummer mit QR-Code. V1 unterstützt sowohl vorgedruckte Ticketcodes als auch die Ausgabe eines druckbaren oder digitale…",,BP-04,Unit Zustandsautomat + Integration Verkauf/Umlauf + E2E erstes Vertical Slice,umgesetzt
F-KAS-055,V2,SOLL,8.1 Ticketverkauf (Kasse),Eine gerätespezifische Bondrucker-Anbindung zur direkten Ticketausgabe ist vorzusehen.,,BP-04,Unit Zustandsautomat + Integration Verkauf/Umlauf + E2E erstes Vertical Slice,geplant
F-KAS-060,V1,MUSS,8.1 Ticketverkauf (Kasse),Keine Erfassung von Bezahlstatus oder Zahlart; Produktpreis nur als Information ohne Zahlungsabwicklung.,,BP-04,ADR-0008 + Contract zahlungsfreier Verkauf + Browser Kasse,umgesetzt
F-KAS-070,V1,MUSS,8.1 Ticketverkauf (Kasse),"Storno ist nur für Kasse und Administrator zulässig, erfordert einen Grund und erzeugt einen unveränderlichen Protokolleintrag.",,BP-05,Unit Queue/Gruppenschutz + Integration Rollen/PIN/Grund/Idempotenz/Umlauffreigabe/Audit + Browser Kasse,umgesetzt
F-KAS-080,V1,MUSS,8.1 Ticketverkauf (Kasse),Umbuchung eines Tickets auf ein anderes Produkt muss mit korrekter Neueinreihung in die operative Warteschlange und vollständiger Protokollierung möglich sein.,V16-KAS-050 und ADR-0017 ersetzen neue Umbuchungen durch Storno plus Neuverkauf; historische Auditdaten bleiben erhalten.,BP-05,Historische Lesbarkeit + Integration Storno/Neuverkauf + Ablehnung alter Umbuchungskommandos,entfällt
F-KAS-090,V1,MUSS,8.1 Ticketverkauf (Kasse),"Ticketsuche nach Ticketnummer, Gruppen-ID, Fluggruppen-/Slotnummer und QR-Code.",,BP-04,Unit Zustandsautomat + Integration Verkauf/Umlauf + E2E erstes Vertical Slice,umgesetzt
F-KAS-100,V1,MUSS,8.1 Ticketverkauf (Kasse),"Die Verkaufskachel zeigt je Produkt mindestens: Betriebsstatus, realistische Wartezeitspanne, prognostiziertes Aufruf-/Boardingfenster, Kapazitätsampel und realistisch verbleibe…",,BP-04,Unit Prognose/Kapazität + Integration Produktfenster/Restplätze/Qualität + Tablet-Browser Kasse,umgesetzt
F-KAS-110,V1,SOLL,8.1 Ticketverkauf (Kasse),"Ist für ein Produkt eine Begleitpflicht für Kinder hinterlegt, weist das System bei einer Kinderbuchung ohne erwachsene Begleitung in derselben Gruppe deutlich darauf hin.",,BP-04,Contract Produktkonfiguration + Unit Begleitwarnung + fokussierter UI-Komponententest des deutlichen Kassenhinweises,umgesetzt
F-KAS-120,V1,MUSS,8.1 Ticketverkauf (Kasse),"Der Verkauf wird technisch gesperrt, wenn das Produkt oder seine Ressourcengruppe nicht verkaufbar ist, der Verkaufsschluss erreicht ist oder der Notfallmodus aktiv ist. Der Spe…",,BP-04,Unit Sale Guard + Integration Veranstaltung/Öffnung/Produkt/Schluss/Ressourcengruppe/Unterbrechung/Notfall/Kapazität,umgesetzt
F-KAS-130,V1,MUSS,8.1 Ticketverkauf (Kasse),Tageszählbericht mit verkauften Tickets und Stornos je Produkt; keine Zahlarten oder Bezahlstatus.,,BP-10,GET reports/daily.csv + Browser Admin + docs/operations/reports.md,in Arbeit
F-KAS-140,V2,KANN,8.1 Ticketverkauf (Kasse),Gutschein-Tickets können ohne sofortige Einreihung ausgegeben und später an der Kasse eingelöst werden.,,BP-04,Unit Zustandsautomat + Integration Verkauf/Umlauf + E2E erstes Vertical Slice,geplant
F-KAS-150,V2,KANN,8.1 Ticketverkauf (Kasse),Warteliste je Produkt für ausverkaufte oder gesperrte Angebote; Vormerkung ohne Zahlung und geregeltes Nachrücken bei frei werdender Kapazität.,,BP-04,Unit Zustandsautomat + Integration Verkauf/Umlauf + E2E erstes Vertical Slice,geplant
F-KAS-160,V1,MUSS,8.1 Ticketverkauf (Kasse),Die Kasse verkauft ausschließlich auf Basis der aktuellen Betriebs- und Prognoselage. Eine feste Flugzeug- oder Pilotenzuordnung durch die Kasse ist ausgeschlossen.,,BP-04,Integration aktuelle Betriebs-/Prognoselage + manipulierte Kassenfelder ohne Flugzeug-/Pilotenzuordnung,umgesetzt
F-RES-010,V1,MUSS,"8.2 Produkte, Ressourcengruppen und Flugzeuge","Jedes buchbare Produkt verwendet genau eine Ressourcengruppe. Produktmerkmale wie Bezeichnung, Preis, Referenzdauer, öffentliche Darstellung und Verkaufsregeln sind von der Ress…",,BP-03,E2E Produkt-FK/Parameter/Gate + Admin-Stammdaten/Audit,umgesetzt
F-RES-020,V1,MUSS,"8.2 Produkte, Ressourcengruppen und Flugzeuge",Mehrere Produkte dürfen dieselbe Ressourcengruppe verwenden. Deren Nachfrage wird in einer gemeinsamen operativen Kapazität disponiert.,,BP-03,E2E zwei Produkte/eine Gruppe/gemeinsame Queue + Kassenanzeige,umgesetzt
F-RES-030,V1,MUSS,"8.2 Produkte, Ressourcengruppen und Flugzeuge",Eine Ressourcengruppe kann ein oder mehrere Flugzeuge enthalten. Standardmäßig besitzt jedes Flugzeug eine eigene Ressourcengruppe; die Zusammenfassung mehrerer Flugzeuge ist ko…,,BP-03,E2E zwei kompatible Flugzeuge in einer Gruppe + Zuordnungsaudit,umgesetzt
F-RES-040,V1,MUSS,"8.2 Produkte, Ressourcengruppen und Flugzeuge",Ein Flugzeug darf zu jedem Zeitpunkt höchstens einer aktiven Ressourcengruppe zugeordnet sein. Das System muss widersprüchliche Zuordnungen technisch verhindern.,,BP-03,Unit Invarianten + Integration Stammdaten/Constraints,umgesetzt
F-RES-050,V1,MUSS,"8.2 Produkte, Ressourcengruppen und Flugzeuge",Zuordnungen von Flugzeugen zu Ressourcengruppen besitzen Gültigkeitszeiträume und werden historisiert. Änderungen im laufenden Betrieb werden mit Auswirkungen auf Queue und Prog…,,BP-03,Unit Invarianten + Integration Stammdaten/Constraints,umgesetzt
F-RES-060,V1,MUSS,"8.2 Produkte, Ressourcengruppen und Flugzeuge",Kompatibilität und Kapazität werden aus konkret zugeordneten Flugzeugen abgeleitet; keine Freitext-Typenliste oder manuelle Gruppenkapazität.,,BP-03,ADR-0008 + Unit abgeleitete Kapazität + Integration Stammdaten/Constraints,umgesetzt
